Day;Time;Title;Speaker;Host;Description;ShortDescription
19-Mar;2:30-4:30 PM;Gaming Social;sTEAM-exclusive event;;Connect with the members of your sTEAM through your favorite virtual games - Skribbl.io, Valorant, Among Us, League of Legends - the possibilities are endless! Not into gaming? No worries! Join for a fun, casual conversation with international STEM enthusiasts.;Connect with the members of your sTEAM through your favorite games and more!
20-Mar;09:30-09:50 AM;Opening Ceremony;EFA and STEMEY;Jason;"Join us to learn more about the convention's hosts, EFA and STEMEY, as well as how you can participate in STEM World II." 
20-Mar;09:50-10:50 AM;Ballin' on a Budget;Angel Radcliffe;Jason;"Stepping into a money mindset, preparing yourself to make smart money moves.  Making the right financial decision starts with the proper knowledge.";Develop a money mindset and learn how to make smart financial decisions.
20-Mar;11:00-12:00 PM;Investing in Your Future: A Guide to Financial Literacy;Cary Siegel;Jason;In this talk, Cary will not only make the topic of money management simple and easy to understand but will also motivate you to start learning it on your own. Because as he puts it - everyone teaches you money is important and you need to earn it. But no one teaches you how to manage it. It's all up to you!;Start learning how to manage your money!
20-Mar;12:10-1:10 PM;Meat & Greet;;;Bring your favorite dish and eat lunch with STEM World II participants! ;Bring your favorite dish and eat lunch with STEM World II participants! 
20-Mar;1:20-2:20 PM;The Promise and Peril of Predictive Analytics;Iris Palmer;Jason;"As education grapples with promoting student success using fewer resources, predictive analytics, the use of past data to forecast future outcomes, is a promising solution. But like all powerful tools, it must be used well. New America has conducted research into what it looks like to use predictive analytics ethically. This session will present some of the challenges of implementing predictive analytics from recruiting and enrollment through graduation.";How to use predictive analytics ethically.
20-Mar;2:30-3:30 PM;Artificial Intelligence from Societal, Ethical, and Philosophical Perspectives;Vincent Conitzer;Saara Kharal ;There has been tremendous progress in artificial intelligence in the last decade and we are starting to see the technology all around us.  As a result, AI is no longer just an abstract research project, but has the potential to reshape human life in many ways, some exciting and some concerning.  How should we think about all this and guide work in AI in a direction that is good for humanity?;Dive deeper into the impact of AI in our daily lives.
20-Mar;3:40-4:40 PM;Discovering the Aquatic World with Robots ;Alberto Quattrini Li;Diana;Let's explore the fascinating aquatic world from the point of view of aquatic robots. This interactive workshop will take you into a journey of some of the aquatic robotics research done at the Dartmouth Reality and Robotics lab, unveiling what is under the hood of robotic boats and underwater robots and their intelligence, as well as their use for contributing to preserving the environment. Experience from students' and professor's perspectives will provide a view on how to become a roboticist and contribute to this exciting field. ;Exploring the aquatic world through the eyes of aquatic robots!
20-Mar;5:00-7:00 PM;Speed and Greet;;Diana, Sophie, Faith, Katherine, Yulia;Meet new STEM lovers in your sTEAM through brief small-group activities and conversations. ;Meet new STEM lovers in your sTEAM through brief small-group activities and conversations. 
21-Mar;09:30-09:50 AM;Opening Ceremony;EFA and STEMEY;Jason;"Join us to learn more about the convention's hosts, EFA and STEMEY, as well as how you can participate in STEM World II." 
21-Mar;09:50-11:00 AM;Bioengineering: Systems and Synthetic Biology;James J Collins;Claire Jin ;"James J. Collins is Termeer Professor of Bioengineering in the Department of Biological Engineering and Institute for Medical Engineering & Science.  He is also affiliated with the Broad Institute and the Wyss Institute.  His research group works in synthetic biology and systems biology, with a particular focus on using network biology approaches to study antibiotic action, bacterial defense mechanisms, and the emergence of resistance. He has received numerous awards and honors, including a Rhodes Scholarship, a MacArthur ""Genius"" Award, an NIH Director's Pioneer Award, a Sanofi-Institut Pasteur Award, as well as several teaching awards.  ";Discover the use of synthetic biology and systems biology as approaches to study antibiotic action, bacterial defense mechanisms and more. 
21-Mar;11:00 AM-12:10 PM;Coffee Chats;;;Enjoy your morning coffee while meeting new STEM lovers from around the world.
21-Mar;12:10-1:10 PM;Global Virus Outbreaks: Interferons as 1st Responders;Eleanor Fish;Maggie Yao;COVID-19 Vaccines: This presentation will highlight the role of our innate immune response in viral clearance. Dr Fish will emphasize the utility of broad spectrum antivirals for acute virus infections that pose a global threat.;Discover the utility of broad spectrum antivirals for acute virus infections that pose a global threat.
